Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	57.385017	155.62997	277.6432	-152.57042	1000.0	-0.33472794	0.08370707	0.10923877	-0.62973857	5000	2.4318695e-08	550.2522	-0.025077224	-396.62537	7.4159985	0.0047632903	0.1654	79.0	10.76380729675293
1	-131.24915	66.40018	-33.599083	-238.61981	883.2	-7.5846295	6.5138097	24.399231	-14.0051775	10000	2.6798249e-08	311.21384	-0.029363047	-150.02582	7.299017	0.0023137147	0.1542	79.0	19.58178472518921
2	49.19036	214.0405	390.1143	-189.48721	993.8	-1.7052497	17.47001	27.734615	-27.090977	15000	-1.6403199e-08	191.87358	-0.01017538	-100.978355	7.2505517	0.011844015	0.119	4.0	29.443906545639038
3	64.41159	118.90069	187.64957	-143.82372	940.0	3.1171124	19.820751	52.174046	-30.489317	20000	-9.918213e-09	105.33661	-0.03471272	-49.35191	7.2796264	0.014781156	0.1706	79.0	41.952841997146606
4	20.966333	133.92326	145.99963	-209.99667	969.0	6.1427264	24.345741	46.44542	-25.370592	25000	3.3092498e-08	191.97514	-0.008561802	-121.422806	7.2751617	0.0142703075	0.1578	5.0	55.0804009437561
5	126.60278	62.186554	195.78822	20.604227	1000.0	-1.0332823	9.645469	35.625984	-22.327318	30000	-6.122589e-08	231.06195	-0.03229679	-167.41528	7.3298173	0.014445224	0.156	79.0	67.64456677436829
6	288.58087	38.70146	357.25037	244.18234	1000.0	30.14668	16.834019	57.51396	1.909822	35000	3.2424927e-09	375.1779	-0.02563247	-312.33398	7.2992773	0.015214598	0.1634	29.0	80.05962681770325
7	203.90317	106.35051	321.64417	15.69791	1000.0	23.111164	4.5477767	56.305134	9.847064	40000	6.4849854e-09	308.77838	-0.03433888	-243.02895	7.274955	0.00146213	0.187	79.0	93.12482619285583
8	153.6315	115.55786	307.74786	-17.726717	1000.0	13.336228	15.977535	44.808903	-12.4729185	45000	1.3899803e-08	206.95715	-0.03788774	-126.56264	7.327262	0.008427835	0.1996	79.0	105.98733186721802
9	205.4368	98.96231	315.49078	67.4071	816.2	24.00468	10.791939	47.000126	-12.051179	50000	-2.861023e-09	150.4429	-0.04882372	-93.584526	7.184997	0.011981882	0.221	79.0	118.7131872177124
10	319.63928	46.23082	376.31726	236.75938	1000.0	18.531338	13.081908	47.639008	-15.269992	55000	1.3351441e-08	329.97034	-0.01941156	-268.80133	7.1704407	0.01843762	0.1536	9.0	131.53420972824097
11	203.13321	121.50511	349.04303	39.159367	912.6	24.04989	6.660987	48.43559	5.1809926	60000	-7.629395e-09	252.4834	-0.047237813	-182.54512	7.1632314	0.0063223727	0.2456	79.0	144.25787448883057
12	278.1822	68.23959	365.9467	159.62521	1000.0	29.326075	11.886837	49.127083	-12.795523	65000	8.106232e-09	91.889435	-0.0459589	-53.12653	7.125264	0.0069458527	0.2066	79.0	156.17426896095276
13	264.8476	100.64916	365.5713	88.574715	1000.0	20.798075	15.328771	50.71469	-18.685713	70000	-1.1825562e-08	103.28129	-0.024991374	-38.76322	7.127036	0.016302247	0.2084	13.0	168.5248372554779
14	250.33932	282.9285	430.71704	-313.95352	1000.0	19.502497	18.900988	47.146664	-22.828144	75000	-9.727478e-09	293.66296	-0.031105844	-213.84927	7.1075954	0.014315295	0.1772	79.0	181.84008741378784
15	229.79868	157.01192	463.73032	40.78147	1000.0	16.532341	22.603819	54.462704	-44.437656	80000	2.2506715e-08	156.94795	-0.04846119	-88.39005	7.0294104	0.015082046	0.2484	76.0	192.44117140769958
16	403.20612	47.240517	467.37	345.09848	1000.0	36.4938	7.6591325	68.76774	-4.0855594	85000	1.5258789e-09	149.8158	-0.025305206	-58.46515	6.9127994	0.017407732	0.1992	15.0	204.79753017425537
17	247.18156	199.62038	459.6175	-127.64046	1000.0	25.575605	17.066816	61.820076	-14.044887	90000	-1.4781952e-08	251.98586	-0.020231847	-164.12909	6.9519053	0.01715485	0.2038	11.0	217.29979944229126
18	354.23547	117.09029	482.4609	143.3846	1000.0	33.683277	10.726131	65.877174	-13.958166	95000	1.8692017e-08	120.34097	-0.045153357	-46.329285	6.8969564	0.015155298	0.2182	46.0	229.89823389053345
19	389.16882	20.332752	410.2743	351.73294	1000.0	34.909298	8.793558	53.6537	-2.6749625	100000	1.9073486e-10	128.93529	-0.053633925	-62.445366	6.932754	0.015012323	0.2368	61.0	242.2989583015442
20	398.37	28.434366	425.27182	345.89844	1000.0	32.646637	8.954361	57.719612	-3.6438446	105000	-8.9645384e-09	130.1502	-0.049846504	-73.98936	6.8489795	0.015336292	0.2378	59.0	254.54567289352417
21	332.3645	124.27947	475.84225	167.11511	1000.0	37.280964	6.3311853	62.01353	23.985266	110000	8.678437e-09	262.95624	-0.052566797	-189.04776	6.778575	0.008775493	0.237	79.0	267.28904819488525
22	391.96677	72.11399	465.80417	266.15933	1000.0	32.71079	8.17765	60.619038	5.255952	115000	-3.0517577e-09	135.67087	-0.013055626	-57.497574	6.7460327	0.012473262	0.1654	5.0	279.30728816986084
23	383.11142	43.268864	439.25568	316.02963	1000.0	35.902744	6.483152	62.979866	20.407244	120000	3.0326845e-08	131.76616	-0.0128684575	-40.992958	6.7634873	0.017562956	0.232	5.0	291.64280462265015
24	384.4606	78.20884	510.01254	283.16556	1000.0	34.397175	7.1222067	62.481007	16.752085	125000	-1.8119811e-08	126.76512	-0.056027226	-51.759888	6.7826514	0.010382743	0.2572	79.0	304.3857080936432
25	389.15823	81.0443	509.2766	297.75955	1000.0	33.586697	12.200456	59.855083	-0.4053845	130000	-1.6403199e-08	106.51588	-0.012906796	-42.522003	6.7606525	0.015213061	0.1976	5.0	316.69250988960266
26	333.42365	140.28215	546.16766	176.06586	1000.0	33.784355	11.494757	68.372925	10.157855	135000	1.1062622e-08	135.22818	-0.0533478	-72.94002	6.7007656	0.0063792337	0.2582	79.0	329.61910009384155
27	370.91693	78.105194	470.93555	286.71964	1000.0	29.111195	14.215795	70.689896	-3.3533936	140000	1.1920929e-08	105.909874	-0.025778947	-52.19032	6.661389	0.01592383	0.2216	12.0	341.6074197292328
28	415.61465	57.73753	498.6064	345.6845	1000.0	37.892834	7.9572525	66.232315	20.297918	145000	1.3637543e-08	103.00913	-0.039014272	-36.62317	6.678991	0.015803173	0.2102	31.0	353.6526401042938
29	430.42838	40.053837	484.628	364.10138	1000.0	38.644062	7.4550905	64.34441	13.787447	150000	-5.912781e-09	159.67157	-0.05646502	-44.933968	6.7305	0.011574382	0.2866	79.0	365.87983989715576
30	418.3593	56.9092	482.96216	335.1031	1000.0	32.963833	11.214454	67.919395	-3.4000955	155000	-1.9836426e-08	162.46472	-0.032734375	-86.69151	6.685918	0.016418563	0.2002	14.0	378.5388910770416
31	384.2796	47.172466	459.40244	315.52362	1000.0	36.084015	11.14958	58.18254	2.108766	160000	9.536744e-10	166.47266	-0.058885362	-88.348915	6.697158	0.012429418	0.253	79.0	390.9940164089203
32	491.32013	49.78377	556.6468	404.5146	1000.0	38.057083	6.098179	57.94476	19.902395	165000	1.3542175e-08	233.84328	-0.04414047	-122.82695	6.6313562	0.015018217	0.2184	39.0	404.0263044834137
33	457.59784	59.364277	523.2573	364.01013	1000.0	43.191036	8.354343	68.36513	15.24124	170000	1.0585785e-08	176.99255	-0.028416106	-93.379265	6.6162095	0.017224103	0.2104	14.0	416.1768832206726
34	477.30063	17.421482	501.3605	449.39706	1000.0	45.530598	11.264386	69.94958	24.050594	175000	7.629395e-09	245.0597	-0.044052094	-144.08122	6.5884385	0.015390317	0.2236	42.0	428.73264741897583
35	475.66104	77.468346	562.0685	338.3107	1000.0	42.12081	7.5681596	61.407436	12.35802	180000	8.773804e-09	100.437965	-0.029198557	-21.960213	6.573339	0.015283733	0.1896	17.0	440.62373518943787
36	484.50732	68.61506	570.455	396.8713	1000.0	39.661465	7.451907	63.7066	17.880987	185000	2.822876e-08	204.38155	-0.014344379	-101.865074	6.6018844	0.013288694	0.1608	6.0	452.5363235473633
37	487.46002	80.19491	575.9036	357.87152	1000.0	45.501205	5.2872887	65.73269	29.082836	190000	1.7929077e-08	256.15036	-0.020453535	-150.93039	6.599954	0.017673708	0.1906	11.0	464.8529374599457
38	494.52228	112.137566	609.7881	289.02188	1000.0	45.0818	8.604677	70.690094	25.804777	195000	-3.2424927e-09	146.44554	-0.0308793	-36.668053	6.5995827	0.01534227	0.195	20.0	476.34254145622253
39	544.7792	45.179184	604.4962	473.0849	1000.0	52.835262	5.3551464	69.418434	32.173622	200000	1.9073486e-10	200.63672	-0.016754206	-64.78145	6.6058908	0.015271548	0.1832	8.0	487.3404815196991
40	576.6338	34.35143	634.2956	532.89667	1000.0	53.820736	5.2291713	71.1748	37.06083	205000	6.866455e-09	163.03137	-0.018875541	-48.96077	6.565195	0.015503763	0.1744	10.0	492.5751829147339
41	535.906	65.6764	612.56116	416.99365	1000.0	52.303886	11.372319	79.58065	26.271969	210000	-2.861023e-09	372.78247	-0.05301821	-237.70595	6.555875	0.015042587	0.2544	74.0	502.454541683197
42	600.3206	70.422485	670.6159	479.61914	1000.0	47.154305	10.153406	66.77093	20.296188	215000	-2.2506715e-08	262.33295	-0.04945597	-137.09042	6.5256357	0.015209588	0.2422	60.0	515.171377658844
43	465.00677	82.019135	606.6689	356.04898	1000.0	55.72429	7.2445626	87.25028	25.528189	220000	7.4386595e-09	390.2043	-0.0606878	-297.9418	6.482136	0.014265276	0.2714	79.0	528.2864441871643
44	581.7049	44.20866	632.293	500.83304	1000.0	47.30923	9.0540695	70.79552	21.06447	225000	-1.449585e-08	214.90802	-0.05519905	-93.74742	6.435243	0.013565454	0.2796	79.0	541.3461487293243
45	562.8493	49.411976	626.60284	505.85715	1000.0	50.175636	10.098435	80.75543	26.475037	230000	1.2969971e-08	224.7214	-0.022494443	-81.46536	6.394861	0.01815942	0.1658	11.0	553.9890978336334
46	564.479	90.31012	657.759	434.6626	1000.0	49.79851	8.31782	76.81174	31.82162	235000	-5.1498414e-09	196.36507	-0.02430942	-91.11324	6.362161	0.016017029	0.175	13.0	565.6980266571045
47	600.48895	41.957882	662.57043	543.1236	1000.0	57.593838	11.294907	86.77275	22.605133	240000	1.9836426e-08	164.348	-0.011924093	-62.035225	6.348523	0.013039954	0.156	5.0	578.1473233699799
48	597.37775	58.778217	690.9145	548.46826	1000.0	52.130867	12.125249	84.005615	19.992685	245000	4.043579e-08	240.21623	-0.0377498	-99.491486	6.2937465	0.015180281	0.2024	25.0	590.6047587394714
49	585.34247	96.91109	709.11127	470.99335	1000.0	56.39235	10.266622	77.76595	27.260008	250000	7.05719e-09	337.57056	-0.051091794	-221.99072	6.2841005	0.008679828	0.2346	79.0	603.40376496315
50	577.07733	127.66678	725.55115	386.4823	1000.0	50.106094	18.039347	83.5157	-5.4913764	255000	-1.4877319e-08	275.6224	-0.013780297	-102.193054	6.2453613	0.015264378	0.1722	6.0	615.4939949512482
51	605.37885	72.29884	715.4157	512.93384	1000.0	56.171013	9.981642	77.67142	18.454092	260000	-5.531311e-09	272.19882	-0.034945562	-104.358215	6.2615027	0.015719306	0.1714	26.0	627.8579497337341
52	638.0112	21.190636	677.24896	618.5956	1000.0	53.6751	12.733068	75.64247	-2.2448812	265000	-8.106232e-09	286.5319	-0.0252895	-146.42361	6.2052536	0.01586708	0.201	13.0	640.5465812683105
