Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-2.5156012	6.2991495	45.372566	-18.437178	32.37013	0.12571697	0.09623178	0.453054	-0.27545875	5000	-0.03668869	25.007832	-0.009451557	-11.250103	7.3925962	0.0042458638	12.019960880279541
1	-3.561927	6.5528994	13.751004	-56.33693	32.5817	-0.6127542	2.4649935	6.425867	-5.8023634	10000	-0.022127671	33.49827	-0.00795255	-15.620163	7.3474455	0.0020531258	21.197139739990234
2	-3.5228984	20.323807	30.642904	-212.22115	42.675213	-2.6803436	3.2160175	8.726848	-10.627489	15000	-0.0016609329	88.13317	-0.006595375	-58.453846	7.3482018	0.0036779563	30.170653820037842
3	-1.0365655	5.8525734	25.92658	-15.743357	42.410713	-0.514029	4.5917425	15.488306	-17.375761	20000	-0.028902503	29.084229	-0.004416557	-13.43091	7.3305764	0.0034285148	39.95066428184509
4	1.1401315	8.2431555	42.490105	-11.748433	49.48515	0.44988915	3.7653635	12.209891	-11.955916	25000	-0.007235382	20.546764	-0.007839737	-5.546831	7.3453493	0.002682146	46.14509654045105
5	1.1781623	9.79229	26.672205	-47.84813	57.407406	1.3757908	4.079136	15.089729	-15.404447	30000	-0.00094614946	33.995396	-0.006782243	-12.078167	7.3235784	0.0036838425	55.633559465408325
6	3.8573709	15.6842	60.970806	-53.768982	84.0	0.85347337	5.008817	18.789412	-15.286978	35000	-0.0037610198	69.74479	-0.0072966423	-40.173496	7.3758187	0.0038445021	67.60551476478577
7	2.4291935	15.382658	40.495403	-71.367165	112.93023	1.2937257	7.9905295	22.557009	-18.216063	40000	-0.0015277343	60.681355	-0.0034103792	-34.923363	7.3441525	0.0028877293	80.91761255264282
8	11.4892	15.916405	76.563965	-6.104776	134.02856	1.8932028	5.0249877	21.122955	-9.038504	45000	-0.050210968	34.546276	-0.005336713	-20.10017	7.3635345	0.0015897043	93.15058517456055
9	-0.9524863	37.470398	54.872494	-100.38557	249.72223	2.4349391	5.2634163	21.89901	-6.8612566	50000	-0.013935297	73.085434	-0.0036378102	-54.08665	7.352122	0.00091063976	105.1329071521759
10	-1.5953646	50.869072	42.907917	-214.05591	237.0	0.8777701	10.712548	26.112745	-18.354652	55000	0.021540964	48.025856	-0.003111001	-21.45903	7.2780924	0.0026362978	117.79186868667603
11	-1.8903793	66.34058	97.04505	-304.096	198.70833	0.00088813476	6.4396977	24.265778	-13.689952	60000	-0.06665368	207.80894	-0.0034398884	-157.84401	7.370639	0.00066060293	129.8172037601471
12	15.108351	19.641071	73.124794	-19.493418	184.14815	5.635226	5.6995754	22.566572	-11.451347	65000	0.029166764	59.30515	-0.0018509533	-32.390186	7.3080735	0.0013970119	141.91530513763428
13	-1.8174698	44.468903	50.828606	-85.07666	422.63635	5.958041	6.830321	26.392101	-14.351962	70000	-0.038992688	189.58755	-0.002737835	-162.24054	7.314978	0.0017843727	154.3125922679901
14	10.534719	55.32401	98.772446	-127.634674	311.23077	2.9781816	6.3590117	27.545954	-13.334032	75000	0.017309155	190.15013	-0.0014265496	-157.01434	7.316767	0.0010716723	162.5567286014557
15	26.402843	65.12051	192.86302	-110.867195	379.92307	1.3571004	10.517199	39.661823	-24.00906	80000	-0.02465559	95.26106	-0.003429927	-55.329845	7.36864	0.0024283985	168.2410385608673
16	19.153584	59.278458	113.96086	-187.8048	287.0	4.487098	11.815216	39.95526	-17.581718	85000	0.027534924	99.244736	-0.0034626666	-38.90156	7.351679	0.0009194382	175.98136615753174
17	13.496693	31.89586	101.97409	-60.542072	291.64706	8.054087	6.2575645	29.097977	-10.693821	90000	0.0066838777	102.092865	-0.004023129	-79.134964	7.371514	0.002218898	185.83374953269958
18	45.773125	38.30693	139.19344	4.268736	487.8	1.5986359	9.316855	36.305443	-14.087166	95000	-0.0145681305	112.1582	-0.0039783875	-81.58542	7.34947	0.0019524246	194.4662148952484
